Place;DriverId;RaceId;Wheel;Time;Residue;Rounds;Points;StartNumber
3;1;19;B;1:39:47.884;11.047;55;15;1
1;1;2;B;1:33:36.531;;58;25;1
7;1;1;B;1:40:05.676;45.280;49;6;1
5;1;18;B;1:33:27.396;15.593;71;10;1
1;1;4;B;1:46:42.163;;56;25;1
5;1;11;B;1:28:08.346;29.482;67;10;1
3;1;9;B;1:40:42.229;12.658;57;15;1
4;1;10;B;1:25:00.186;21.986;52;12;1
2;1;14;B;1:16:27.510;2.938;53;18;1
4;1;16;B;1:30:40.845;13.522;53;12;1
2;1;8;B;1:33:55.710;2.254;70;18;1
12;1;17;B;2:49:50.749;+ 1:29.939;55;0;1
8;1;3;B;1:34:26.330;37.918;56;4;1
4;1;15;B;1:58:23.963;30.384;61;12;1
5;1;5;B;1:36:47.829;+ 1:03.728;66;10;1
2;1;7;B;1:28:50.265;2.645;58;18;1
8;1;12;B;1:41:07.854;+ 1 Runde;69;4;1
2;2;19;B;1:39:46.999;10.162;55;18;2
6;2;2;B;1:34:06.429;29.898;58;8;2
3;2;1;B;1:39:43.578;23.182;49;15;2
1;2;13;B;1:29:04.268;;44;25;2
4;2;18;B;1:33:26.437;14.634;71;12;2
2;2;4;B;1:46:43.693;1.530;56;18;2
4;2;11;B;1:28:05.760;26.896;67;12;2
2;2;9;B;1:40:34.613;5.042;57;18;2
2;2;10;B;1:24:39.560;1.360;52;18;2
5;2;16;B;1:31:06.918;39.595;53;10;2
1;2;8;B;1:33:53.456;;70;25;2
2;2;17;B;2:48:35.809;14.999;55;18;2
6;2;3;B;1:34:11.883;23.471;56;8;2
5;2;6;B;1:50:17.718;4.363;78;10;2
14;2;5;B;1:32:59.272;Ausfall;64;0;2
1;2;7;B;1:28:47.620;;58;25;2
10;3;2;B;1:34:45.922;+ 1:09.391;58;1;3
6;3;1;B;1:40:04.559;44.163;49;8;3
7;3;13;B;1:29:19.816;15.548;44;6;3
7;3;18;B;1:33:55.259;43.456;71;6;3
10;3;4;B;1:47:43.912;+ 1:01.749;56;1;3
9;3;11;B;1:27:50.738;+ 1 Runde;66;2;3
15;3;9;B;1:41:18.397;48.826;57;0;3
9;3;10;B;1:25:19.799;41.599;52;2;3
9;3;14;B;1:17:09.520;44.948;53;2;3
6;3;16;B;1:31:27.256;59.933;53;8;3
11;3;8;B;1:34:44.747;+ 1 Runde;69;0;3
4;3;17;B;2:49:00.498;39.688;55;12;3
12;3;6;B;1:50:39.067;25.712;78;0;3
13;3;15;B;1:58:06.513;+ 1 Runde;60;0;3
4;3;5;B;1:36:46.296;+ 1:02.195;66;12;3
4;3;7;B;1:29:18.730;31.110;58;12;3
11;3;12;B;1:41:30.110;+ 1 Runde;69;0;3
4;4;19;B;1:40:07.584;30.747;55;12;4
5;4;2;B;1:33:53.214;16.683;58;10;4
5;4;1;B;1:40:00.609;40.213;49;10;4
6;4;13;B;1:29:16.627;12.359;44;8;4
6;4;18;B;1:33:47.123;35.320;71;8;4
3;4;4;B;1:46:51.647;9.484;56;15;4
8;4;11;B;1:27:47.541;+ 1 Runde;66;4;4
10;4;9;B;1:41:13.953;44.382;57;1;4
3;4;10;B;1:24:59.507;21.307;52;15;4
5;4;14;B;1:16:54.514;29.942;53;10;4
17;4;16;B;1:21:52.769;Ausfall;47;0;4
6;4;8;B;1:34:49.540;56.084;70;8;4
3;4;3;B;1:34:01.916;13.504;56;15;4
7;4;6;B;1:50:20.006;6.651;78;6;4
5;4;15;B;1:58:42.973;49.394;61;10;4
13;4;5;B;1:36:41.080;+ 1 Runde;65;0;4
5;4;7;B;1:29:19.886;32.266;58;10;4
1;5;19;B;1:39:36.837;;55;25;5
4;5;1;B;1:39:59.195;38.799;49;12;5
15;5;13;B;1:29:30.159;+ 1 Runde;43;0;5
1;5;18;B;1:33:11.803;;71;25;5
6;5;4;B;1:47:15.473;33.310;56;8;5
3;5;11;B;1:27:43.985;5.121;67;15;5
1;5;9;B;1:40:29.571;;57;25;5
7;5;10;B;1:25:14.934;36.734;52;6;5
4;5;14;B;1:16:52.768;28.196;53;12;5
1;5;16;B;1:30:27.323;;53;25;5
4;5;8;B;1:34:31.273;37.817;70;12;5
1;5;3;B;1:33:48.412;;56;25;5
2;5;6;B;1:50:13.803;+ 0.448;78;18;5
2;5;15;B;1:57:53.872;+ 0.293;61;18;5
3;5;5;B;1:36:35.439;51.338;66;15;5
3;5;12;B;1:41:24.823;19.252;70;15;5
8;6;19;B;1:40:21.080;44.243;55;4;6
9;6;2;B;1:34:43.850;+ 1:07.319;58;2;6
8;6;1;B;1:40:06.756;46.360;49;4;6
2;6;13;B;1:29:05.839;1.571;44;18;6
2;6;18;B;1:33:16.046;4.243;71;18;6
8;6;4;B;1:47:34.335;52.172;56;4;6
6;6;11;B;1:28:22.470;43.606;67;8;6
1;6;10;B;1:24:38.200;;52;25;6
6;6;14;B;1:16:55.848;31.276;53;8;6
2;6;16;B;1:30:28.228;+ 0.905;53;18;6
5;6;17;B;1:34:32.747;39.291;70;10;6
2;6;3;B;1:33:53.261;4.849;56;18;6
1;6;6;B;1:50:13.355;;78;25;6
3;6;15;B;1:58:22.720;29.141;61;15;6
1;6;5;B;1:35:44.101;;66;25;6
3;6;7;B;1:29:11.905;24.285;58;15;6
1;6;12;B;1:41:05.571;;70;25;6
10;7;19;B;1:40:27.705;50.868;55;1;7
3;7;2;B;1:33:51.019;14.488;58;15;7
2;7;1;B;1:39:36.495;16.099;49;18;7
4;7;13;B;1:29:12.532;8.264;44;12;7
15;7;18;B;1:33:59.032;+ 1 Runde;70;0;7
9;7;4;B;1:47:39.959;57.796;56;2;7
2;7;11;B;1:27:43.060;4.196;67;18;7
11;7;9;B;1:41:16.192;46.621;57;0;7
15;7;10;B;1:25:45.689;+ 1:07.489;52;0;7
3;7;14;B;1:16:28.795;4.223;53;15;7
15;7;8;B;1:35:15.971;+ 1 Runde;69;0;7
3;7;17;B;2:48:51.678;30.868;55;15;7
7;7;3;B;1:34:15.480;27.068;56;6;7
4;7;6;B;1:50:16.021;2.666;78;12;7
8;7;15;B;1:59:46.876;+ 1:53.297;61;4;7
6;7;5;B;1:36:49.868;+ 1:05.767;66;8;7
7;7;7;B;1:29:24.255;36.635;58;6;7
4;7;12;B;1:41:33.045;27.474;70;12;7
7;8;19;B;1:40:20.634;43.797;55;6;8
4;8;2;B;1:33:52.835;16.304;58;12;8
1;8;1;B;1:39:20.396;;49;25;8
3;8;18;B;1:33:18.610;6.807;71;15;8
4;8;4;B;1:46:54.032;11.869;56;12;8
1;8;11;B;1:27:38.864;;67;25;8
8;8;9;B;1:41:02.380;32.809;57;4;8
14;8;10;B;1:25:40.585;+ 1:02.385;52;0;8
1;8;14;B;1:16:24.572;;53;25;8
3;8;16;B;1:30:30.044;2.721;53;15;8
3;8;8;B;1:34:02.670;9.214;70;15;8
1;8;17;B;2:48:20.810;;55;25;8
13;8;3;B;1:31:05.241;+ 2 Runden;54;0;8
6;8;6;B;1:50:19.696;6.341;78;8;8
1;8;15;B;1:57:53.579;;61;25;8
