Platz;Rennen;Nummer;Fahrer;Team / Motor;Reifen;Zeit;Rückstand;Runden;Punkte
3;Abu Dhabi GP;1;J. Button;McLaren / Mercedes;B;1:39:47.884;11.047;55;15
1;Australien GP;1;J. Button;McLaren / Mercedes;B;1:33:36.531;;58;25
7;Bahrain GP;1;J. Button;McLaren / Mercedes;B;1:40:05.676;45.280;49;6
5;Brasilien GP;1;J. Button;McLaren / Mercedes;B;1:33:27.396;15.593;71;10
1;China GP;1;J. Button;McLaren / Mercedes;B;1:46:42.163;;56;25
5;Deutschand GP;1;J. Button;McLaren / Mercedes;B;1:28:08.346;29.482;67;10
3;Europa GP;1;J. Button;McLaren / Mercedes;B;1:40:42.229;12.658;57;15
4;Großbritannien GP;1;J. Button;McLaren / Mercedes;B;1:25:00.186;21.986;52;12
2;Italien GP;1;J. Button;McLaren / Mercedes;B;1:16:27.510;2.938;53;18
4;Japan GP;1;J. Button;McLaren / Mercedes;B;1:30:40.845;13.522;53;12
2;Kanada GP;1;J. Button;McLaren / Mercedes;B;1:33:55.710;2.254;70;18
12;Korea GP;1;J. Button;McLaren / Mercedes;B;2:49:50.749;+ 1:29.939;55;0
8;Malaysia GP;1;J. Button;McLaren / Mercedes;B;1:34:26.330;37.918;56;4
4;Singapur GP;1;J. Button;McLaren / Mercedes;B;1:58:23.963;30.384;61;12
5;Spanien GP;1;J. Button;McLaren / Mercedes;B;1:36:47.829;+ 1:03.728;66;10
2;Türkei GP;1;J. Button;McLaren / Mercedes;B;1:28:50.265;2.645;58;18
8;Ungarn GP;1;J. Button;McLaren / Mercedes;B;1:41:07.854;+ 1 Runde;69;4
2;Abu Dhabi GP;2;L. Hamilton;McLaren / Mercedes;B;1:39:46.999;10.162;55;18
6;Australien GP;2;L. Hamilton;McLaren / Mercedes;B;1:34:06.429;29.898;58;8
3;Bahrain GP;2;L. Hamilton;McLaren / Mercedes;B;1:39:43.578;23.182;49;15
1;Belgien GP;2;L. Hamilton;McLaren / Mercedes;B;1:29:04.268;;44;25
4;Brasilien GP;2;L. Hamilton;McLaren / Mercedes;B;1:33:26.437;14.634;71;12
2;China GP;2;L. Hamilton;McLaren / Mercedes;B;1:46:43.693;1.530;56;18
4;Deutschand GP;2;L. Hamilton;McLaren / Mercedes;B;1:28:05.760;26.896;67;12
2;Europa GP;2;L. Hamilton;McLaren / Mercedes;B;1:40:34.613;5.042;57;18
2;Großbritannien GP;2;L. Hamilton;McLaren / Mercedes;B;1:24:39.560;1.360;52;18
5;Japan GP;2;L. Hamilton;McLaren / Mercedes;B;1:31:06.918;39.595;53;10
1;Kanada GP;2;L. Hamilton;McLaren / Mercedes;B;1:33:53.456;;70;25
2;Korea GP;2;L. Hamilton;McLaren / Mercedes;B;2:48:35.809;14.999;55;18
6;Malaysia GP;2;L. Hamilton;McLaren / Mercedes;B;1:34:11.883;23.471;56;8
5;Monaco GP;2;L. Hamilton;McLaren / Mercedes;B;1:50:17.718;4.363;78;10
14;Spanien GP;2;L. Hamilton;McLaren / Mercedes;B;1:32:59.272;Ausfall;64;0
1;Türkei GP;2;L. Hamilton;McLaren / Mercedes;B;1:28:47.620;;58;25
10;Australien GP;3;M. Schumacher;Mercedes GP / Mercedes;B;1:34:45.922;+ 1:09.391;58;1
6;Bahrain GP;3;M. Schumacher;Mercedes GP / Mercedes;B;1:40:04.559;44.163;49;8
7;Belgien GP;3;M. Schumacher;Mercedes GP / Mercedes;B;1:29:19.816;15.548;44;6
7;Brasilien GP;3;M. Schumacher;Mercedes GP / Mercedes;B;1:33:55.259;43.456;71;6
10;China GP;3;M. Schumacher;Mercedes GP / Mercedes;B;1:47:43.912;+ 1:01.749;56;1
9;Deutschand GP;3;M. Schumacher;Mercedes GP / Mercedes;B;1:27:50.738;+ 1 Runde;66;2
15;Europa GP;3;M. Schumacher;Mercedes GP / Mercedes;B;1:41:18.397;48.826;57;0
9;Großbritannien GP;3;M. Schumacher;Mercedes GP / Mercedes;B;1:25:19.799;41.599;52;2
9;Italien GP;3;M. Schumacher;Mercedes GP / Mercedes;B;1:17:09.520;44.948;53;2
6;Japan GP;3;M. Schumacher;Mercedes GP / Mercedes;B;1:31:27.256;59.933;53;8
11;Kanada GP;3;M. Schumacher;Mercedes GP / Mercedes;B;1:34:44.747;+ 1 Runde;69;0
4;Korea GP;3;M. Schumacher;Mercedes GP / Mercedes;B;2:49:00.498;39.688;55;12
12;Monaco GP;3;M. Schumacher;Mercedes GP / Mercedes;B;1:50:39.067;25.712;78;0
13;Singapur GP;3;M. Schumacher;Mercedes GP / Mercedes;B;1:58:06.513;+ 1 Runde;60;0
4;Spanien GP;3;M. Schumacher;Mercedes GP / Mercedes;B;1:36:46.296;+ 1:02.195;66;12
4;Türkei GP;3;M. Schumacher;Mercedes GP / Mercedes;B;1:29:18.730;31.110;58;12
11;Ungarn GP;3;M. Schumacher;Mercedes GP / Mercedes;B;1:41:30.110;+ 1 Runde;69;0
4;Abu Dhabi GP;4;N. Rosberg;Mercedes GP / Mercedes;B;1:40:07.584;30.747;55;12
5;Australien GP;4;N. Rosberg;Mercedes GP / Mercedes;B;1:33:53.214;16.683;58;10
5;Bahrain GP;4;N. Rosberg;Mercedes GP / Mercedes;B;1:40:00.609;40.213;49;10
6;Belgien GP;4;N. Rosberg;Mercedes GP / Mercedes;B;1:29:16.627;12.359;44;8
6;Brasilien GP;4;N. Rosberg;Mercedes GP / Mercedes;B;1:33:47.123;35.320;71;8
3;China GP;4;N. Rosberg;Mercedes GP / Mercedes;B;1:46:51.647;9.484;56;15
8;Deutschand GP;4;N. Rosberg;Mercedes GP / Mercedes;B;1:27:47.541;+ 1 Runde;66;4
10;Europa GP;4;N. Rosberg;Mercedes GP / Mercedes;B;1:41:13.953;44.382;57;1
3;Großbritannien GP;4;N. Rosberg;Mercedes GP / Mercedes;B;1:24:59.507;21.307;52;15
5;Italien GP;4;N. Rosberg;Mercedes GP / Mercedes;B;1:16:54.514;29.942;53;10
17;Japan GP;4;N. Rosberg;Mercedes GP / Mercedes;B;1:21:52.769;Ausfall;47;0
6;Kanada GP;4;N. Rosberg;Mercedes GP / Mercedes;B;1:34:49.540;56.084;70;8
3;Malaysia GP;4;N. Rosberg;Mercedes GP / Mercedes;B;1:34:01.916;13.504;56;15
7;Monaco GP;4;N. Rosberg;Mercedes GP / Mercedes;B;1:50:20.006;6.651;78;6
5;Singapur GP;4;N. Rosberg;Mercedes GP / Mercedes;B;1:58:42.973;49.394;61;10
13;Spanien GP;4;N. Rosberg;Mercedes GP / Mercedes;B;1:36:41.080;+ 1 Runde;65;0
5;Türkei GP;4;N. Rosberg;Mercedes GP / Mercedes;B;1:29:19.886;32.266;58;10
1;Abu Dhabi GP;5;S. Vettel;Red Bull Racing / Renault;B;1:39:36.837;;55;25
4;Bahrain GP;5;S. Vettel;Red Bull Racing / Renault;B;1:39:59.195;38.799;49;12
15;Belgien GP;5;S. Vettel;Red Bull Racing / Renault;B;1:29:30.159;+ 1 Runde;43;0
1;Brasilien GP;5;S. Vettel;Red Bull Racing / Renault;B;1:33:11.803;;71;25
6;China GP;5;S. Vettel;Red Bull Racing / Renault;B;1:47:15.473;33.310;56;8
3;Deutschand GP;5;S. Vettel;Red Bull Racing / Renault;B;1:27:43.985;5.121;67;15
1;Europa GP;5;S. Vettel;Red Bull Racing / Renault;B;1:40:29.571;;57;25
7;Großbritannien GP;5;S. Vettel;Red Bull Racing / Renault;B;1:25:14.934;36.734;52;6
4;Italien GP;5;S. Vettel;Red Bull Racing / Renault;B;1:16:52.768;28.196;53;12
1;Japan GP;5;S. Vettel;Red Bull Racing / Renault;B;1:30:27.323;;53;25
4;Kanada GP;5;S. Vettel;Red Bull Racing / Renault;B;1:34:31.273;37.817;70;12
1;Malaysia GP;5;S. Vettel;Red Bull Racing / Renault;B;1:33:48.412;;56;25
2;Monaco GP;5;S. Vettel;Red Bull Racing / Renault;B;1:50:13.803;+ 0.448;78;18
2;Singapur GP;5;S. Vettel;Red Bull Racing / Renault;B;1:57:53.872;+ 0.293;61;18
3;Spanien GP;5;S. Vettel;Red Bull Racing / Renault;B;1:36:35.439;51.338;66;15
3;Ungarn GP;5;S. Vettel;Red Bull Racing / Renault;B;1:41:24.823;19.252;70;15
8;Abu Dhabi GP;6;M. Webber;Red Bull Racing / Renault;B;1:40:21.080;44.243;55;4
9;Australien GP;6;M. Webber;Red Bull Racing / Renault;B;1:34:43.850;+ 1:07.319;58;2
8;Bahrain GP;6;M. Webber;Red Bull Racing / Renault;B;1:40:06.756;46.360;49;4
2;Belgien GP;6;M. Webber;Red Bull Racing / Renault;B;1:29:05.839;1.571;44;18
2;Brasilien GP;6;M. Webber;Red Bull Racing / Renault;B;1:33:16.046;4.243;71;18
8;China GP;6;M. Webber;Red Bull Racing / Renault;B;1:47:34.335;52.172;56;4
6;Deutschand GP;6;M. Webber;Red Bull Racing / Renault;B;1:28:22.470;43.606;67;8
1;Großbritannien GP;6;M. Webber;Red Bull Racing / Renault;B;1:24:38.200;;52;25
6;Italien GP;6;M. Webber;Red Bull Racing / Renault;B;1:16:55.848;31.276;53;8
2;Japan GP;6;M. Webber;Red Bull Racing / Renault;B;1:30:28.228;+ 0.905;53;18
